Name	County	Address	Eircode	LatitudeDD	LongatudeDD	Capacity	Tag
Suncroft Lodge Nursing Home	Kildare	Suncroft, The Curragh	R56HX05	53.1071989	-6.8601632	60	suncroft-lodge-nursing-home
Sunhill Nursing Home	Louth	Blackhall Road , Termonfeckin	A92F902	53.7648132	-6.2710823	102	sunhill-nursing-home
Swords Nursing Home	Dublin	Mount Ambrose, Swords	K67N1W0	53.4660921	-6.2745845	52	swords-nursing-home
Talbot Lodge Nursing Home	Dublin	17 Kinsealy Lane, Malahide	K36D295	53.4308407	-6.1697487	103	talbot-lodge-nursing-home
Tara Care Centre	Wicklow	5/6 Putland Road, Bray	A98YA89	53.1953037	-6.0995987	47	tara-care-centre
Tara Winthrop Private Clinic	Dublin	Nevinstown Lane, Pinnock Hill , Swords	K67HH57	53.4441401	-6.2271393	136	tara-winthrop-private-clinic
Teach Altra Nursing Home	Cork	Scarteen, Newmarket	P51D504	52.2167791	-9.0029679	42	teach-altra-nursing-home
An Teaghlach Uilinn Nursing Home	Galway	Kilrainey, Moycullen	H91RW96	53.3429619	-9.1766097	75	teaghlach-uilinn-nursing-home
Terenure Nursing Home	Dublin	122 Terenure Road West, Terenure Road	D6WPW58	53.3114293	-6.2975111	47	terenure-nursing-home
Thomond Lodge Nursing Home	Longford	Thomond Hall, Ballymahon	N39C597	53.5597264	-7.7718065	48	thomond-lodge-nursing-home
Thorpe's Nursing Home	Limerick	Clarina	V94A562	52.6298009	-8.7259811	42	thorpes-nursing-home
Tinnypark Nursing Home	Kilkenny	Derdimus, Callan Road	R95EF21	52.6236111	-7.2852819	47	tinnypark-nursing-home
TLC Carton	Dublin	Tonlegee Road, Raheny	D05N5K3	53.3914736	-6.1911607	163	tlc-carton-0
TLC Centre Maynooth	Kildare	Straffan Road, Maynooth	W23H028	53.3599481	-6.5942441	123	tlc-centre-maynooth
TLC Centre Santry	Dublin	Northwood Park, Santry 	D09H4X0	53.4051713	-6.2524633	100	tlc-centre-santry
TLC City West	Dublin	Cooldown Commons, Fortunestown Lane , Citywest 	D24K5KC	53.2863056	-6.4321866	119	tlc-city-west
Tralee Community Nursing Unit	Kerry	Teile Carraig, Killerisk Road, Tralee	V92YC82	52.2645368	-9.6828525	43	tralee-community-nursing-unit
Tramore Nursing Home	Waterford	Newtown, Tramore	X91DKF5	52.1569111	-7.1689127	93	tramore-nursing-home
Tymon North Community Unit	Dublin	Tymon North Road, Tallaght	D24Y2XD	53.2985807	-6.3465031	48	tymon-north-community-unit
Unit 1 St Stephen's Hospital	Cork	St Stephens Hospital, Sarsfield Court, Glanmire	T45VK40	51.952681	-8.4006045	16	unit-1-st-stephens-hospital
Valentia Hospital	Kerry	Farranreagh, Valentia Island	V23V968	51.9214269	-10.2953865	24	valentia-hospital
Valentia Nursing Home	Wexford	Camolin	Y21C677	52.6139308	-6.429234	39	valentia-nursing-home
The Village Residence	Louth	St Mary's Residential Care Service, Dublin Road, Drogheda	A92X862	53.7113626	-6.3410189	60	village-residence
Villa Marie Nursing Home	Tipperary	Grange, Templemore Road, Roscrea	E53NC56	52.9389427	-7.7878715	30	villa-marie-nursing-home
Virginia Community Health Centre	Cavan	Dublin Road, Virginia	A82AH29	53.8316292	-7.0676282	56	virginia-community-health-centre
Waterford Nursing Home	Waterford	Ballinakill Downs, Dunmore Road	X91TA49	52.2404054	-7.0646133	60	waterford-nursing-home
Waterford Residential Care Centre	Waterford	St Patrick's Way, Waterford	X91XE86	52.2500965	-7.1027053	80	waterford-residential-care-centre
West Clare Nursing Home St Theresa's Kilrush	Clare	Leadmore East, Kilkee Road, Kilrush	V15PC56	52.6459349	-9.495034	39	west-clare-nursing-home-st-theresas-kilrush
Willow Brooke Care Centre	Kerry	College Road, Castleisland	V92YR5F	52.237873	-9.4552721	73	willow-brooke-care-centre
Willowbrook Lodge	Tipperary	Mocklershill, Fethard	E91R7R2	52.5110655	-7.8027846	27	willowbrook-lodge
Willowbrook Nursing Home	Kildare	Borohard, Newbridge	W12VF40	53.2016122	-6.7545479	50	willowbrook-nursing-home
Windmill House Care Centre	Cork	Churchtown, Mallow	P51KW65	52.2747135	-8.7339431	40	windmill-house-care-centre
Woodlands House Nursing Home	Meath	Trim Road, Navan	C15V585	53.6465983	-6.6857036	36	woodlands-house-nursing-home
Woodlands Nursing Home	Tipperary	Bishopswood, Dundrum	E34NX20	52.571362	-8.028679	43	woodlands-nursing-home
Woodlawn Manor Nursing Home	Dublin	St Doolaghs House, Malahide Road, Balgriffin	D17TR63	53.4147437	-6.174801	97	woodlawn-manor-nursing-home
Wygram Nursing Home	Wexford	Davitt Road, Wexford Town	Y35H6P1	52.3394565	-6.4704968	71	wygram-nursing-home
Youghal and District Nursing Home	Cork	Gortroe, Youghal	P36CF88	51.9305644	-7.9153315	54	youghal-and-district-nursing-home
Youghal Community Hospital	Cork	Cork Hill, Youghal	P36HX95	51.9575695	-7.8600494	31	youghal-community-hospital
